NPI,CCN,Provider_Type,Business_State_Territory,ZIP,Specialty,Hospital_Type,Program_Type,Program_Year,Provider_Stage_Number,Payment_Year,Attestation_Month,Attestation_Year,MU_Definition_2014,Stage_2_Scheduled_2014,EHR_Certification_Number,EHR_Product_CHP_Id,Vendor_Name,EHR_Product_Name,EHR_Product_Version,Product_Classification,Product_Setting,Product_Certification_Edition_Yr
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2014,Stage 1,3,2,2015,2014,1,A014E01O5FAMEAN,CHP-021796,Allscripts,Allscripts Enterprise EHR,Version 11.4.1 (CQM Phase 3),Modular EHR,Ambulatory,2014
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01PDRTLEAR,CHP-019270,Get Real Health,InstantPHR,3,Modular EHR,Ambulatory,2014
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01PDRTLEAR,CHP-022204,Allscripts,Allscripts TouchWorks EHR,11.4.1,Modular EHR,Ambulatory,2014
1003000597,,EP,Oklahoma,74104,Urology,,Medicare,2015,Stage 1,,2,2016,,0,1314E01PHNJKEA5,CHP-023369,NextGen Healthcare,NextGen Ambulatory EHR,5.8.1,Complete EHR,Ambulatory,2014
1003000597,,EP,Oklahoma,74104,Urology,,Medicare,2016,Stage 1,,1,2017,,0,1314E01PHNJKEA5,CHP-023369,NextGen Healthcare,NextGen Ambulatory EHR,5.8.1,Complete EHR,Ambulatory,2014
1003000621,,EP,Virginia,23901,Chiropractor,,Medicare,2012,Stage 1,1,9,2012,,1,30000004S9VAEA0,CHP-008186,"MPN Software Systems, Inc.",ECLIPSE,2011,Complete EHR,Ambulatory,2011
1003000639,,EP,California,90095,Surgery,,Medicare,2015,Stage 1,,2,2016,,0,1314E01PNI95EAB,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003000902,,EP,Indiana,40212,Family Medicine,,Medicare,2012,Stage 1,1,9,2012,,1,30000001SW7XEAS,CHP-007428,GE Healthcare,Centricity Practice Solution,9.5,Complete EHR,Ambulatory,2011
1003000902,,EP,Indiana,40212,Family Medicine,,Medicare,2013,Stage 1,2,3,2014,,1,A000001CJJK1EAN,CHP-009439,GE Healthcare,Centricity Practice Solution,10.1.3,Complete EHR,Ambulatory,2011
1003000902,,EP,Indiana,40212,Family Medicine,,Medicare,2014,Stage 1,3,2,2015,2014,1,A014E01KHMOZEAF,CHP-021419,GE Healthcare,Centricity Practice Solution,12,Complete EHR,Ambulatory,2014
1003000902,,EP,Indiana,40212,Family Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01PSDJ4EAH,CHP-028297,GE Healthcare,Centricity Practice Solution,12.0 R3,Complete EHR,Ambulatory,2014
1003000902,,EP,Indiana,40212,Family Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RM6O0EAL,CHP-028849,GE Healthcare,Centricity Practice Solution,12.0 R4,Complete EHR,Ambulatory,2014
1003000936,,EP,South Carolina,29203,Internal Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01P3YNZEAF,CHP-023137,"Greenway Health, LLC",Greenway PrimeSUITE,2014 (17.0),Complete EHR,Ambulatory,2014
1003000936,,EP,South Carolina,29203,Internal Medicine,,Medicare,2015,Stage 1,2,3,2016,,0,1314E01P3YPFEAF,CHP-023136,"Greenway Health, LLC",Greenway PrimeSUITE,2014 (17.0),Complete EHR,Ambulatory,2014
1003001256,,EP,Colorado,80620,Family Medicine,,Medicare,2013,Stage 1,2,12,2013,,0,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003001256,,EP,Colorado,80620,Family Medicine,,Medicare,2014,Stage 1,3,2,2015,2014,0,A014E01NDHFMEAH,CHP-022048,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2010 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003001256,,EP,Colorado,80620,Family Medicine,,Medicare,2015,Stage 2,4,1,2016,,0,1314E01PUPLSEAF,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003001256,,EP,Colorado,80620,Family Medicine,,Medicare,2015,Stage 2,4,1,2016,,0,1314E01PUPLSEAF,CHP-024743,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2010 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003001363,,EP,California,92243,Anesthesiology,,Medicare,2013,Stage 1,1,5,2013,,0,30000001SVGGEAC,CHP-007490,"Greenway Health, LLC",PrimeSuite,2011,Complete EHR,Ambulatory,2011
1003001462,,EP,Georgia,30642,Radiology,,Medicare,2015,Stage 1,,3,2016,,0,1314E01P3YLAEAV,CHP-023026,"Elekta - IMPAC Medical Systems, Inc.",MOSAIQ,2.6,Complete EHR,Ambulatory,2014
1003001645,,EP,California,95815,Internal Medicine,,Medicare,2013,Stage 1,1,8,2013,,0,A0H1301FVVLYEAP,CHP-019280,"athenahealth, Inc.",athenaClinicals,13.5,Complete EHR,Ambulatory,2011
1003001645,,EP,California,95815,Internal Medicine,,Medicare,2014,Stage 1,2,6,2014,2014,0,A014E01NCQ8ZEAX,CHP-022105,"athenahealth, Inc.",athenaClinicals,14.3,Complete EHR,Ambulatory,2014
1003001645,,EP,California,95815,Internal Medicine,,Medicare,2015,Stage 2,3,1,2016,,0,1314E01RBGY5EAD,CHP-028427,"athenahealth, Inc.",athenaClinicals,15.1,Complete EHR,Ambulatory,2014
1003001785,,EP,Oklahoma,33765,Orthopaedic Surgery,,Medicare,2015,Stage 1,,2,2016,,0,1314E01RMU1YEAT,CHP-018655,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2010,Complete EHR,Ambulatory,2014
1003001785,,EP,Oklahoma,33765,Orthopaedic Surgery,,Medicare,2015,Stage 1,,2,2016,,0,1314E01RMU1YEAT,CHP-022044,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2014 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003001785,,EP,Oklahoma,33765,Orthopaedic Surgery,,Medicare,2015,Stage 1,,2,2016,,0,1314E01RMU1YEAT,CHP-022045,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2012 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003001785,,EP,Oklahoma,33765,Orthopaedic Surgery,,Medicare,2015,Stage 1,,2,2016,,0,1314E01RMU1YEAT,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003001884,,EP,Michigan,48532,Family Medicine,,Medicare,2011,Stage 1,1,2,2012,,1,30000005HGYZEAO,CHP-007827,Amazing Charts,Amazing Charts,6.1.1,Complete EHR,Ambulatory,2011
1003001884,,EP,Michigan,48532,Family Medicine,,Medicare,2013,Stage 1,3,3,2014,,1,30000005HGYZEAO,CHP-007827,Amazing Charts,Amazing Charts,6.1.1,Complete EHR,Ambulatory,2011
1003001884,,EP,Michigan,48532,Family Medicine,,Medicare,2015,Stage 2,5,5,2016,,1,1314E01QGHHKEAX,CHP-025504,Amazing Charts,Amazing Charts,8.2,Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2012,Stage 1,1,11,2012,,1,30000001SVJQEA0,CHP-007508,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2010,Complete EHR,Ambulatory,2011
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2013,Stage 1,2,3,2014,,1,A0H1301IF7FQEAB,CHP-007508,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,2010,Complete EHR,Ambulatory,2011
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2013,Stage 1,2,3,2014,,1,A0H1301IF7FQEAB,CHP-009351,Epic Systems Corporation,EpicCare Ambulatory - Core EMR,Epic 2012,Complete EHR,Ambulatory,2011
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2013,Stage 1,2,3,2014,,1,A0H1301IF7FQEAB,CHP-019739,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2012,Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2014,Stage 2,3,2,2015,2014,1,A014E01NC9ZLEA1,CHP-022045,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2012 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01RCQYIEAX,CHP-022034,Epic Systems Corporation,Beacon Oncology 2014 Certified Module,Epic 2014 (June 2013 CQMs),Modular EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01RCQYIEAX,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01RCQYIEAX,CHP-025226,"Sunquest Information Systems, Inc.",Sunquest Laboratory,7,Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-021118,Epic Systems Corporation,Beacon Oncology 2014 Certified Module,Epic 2014,Modular EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-021119,Epic Systems Corporation,OpTime Surgical 2014 Certified Module,Epic 2014,Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-021120,Epic Systems Corporation,EpicCare Inpatient 2014 Certified EHR Suite (with Beaker),Epic 2014,Complete EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-021121,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2014,Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-021122,Epic Systems Corporation,EpicCare Inpatient 2014 Certified EHR Suite,Epic 2014,Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-022034,Epic Systems Corporation,Beacon Oncology 2014 Certified Module,Epic 2014 (June 2013 CQMs),Modular EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-022035,Epic Systems Corporation,OpTime Surgical 2014 Certified Module,Epic 2014 (April 2013 CQMs),Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-022044,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2014 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-022050,Epic Systems Corporation,EpicCare Inpatient 2014 Certified EHR Suite (with Beaker),Epic 2014 (April 2013 CQMs),Complete EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-022052,Epic Systems Corporation,EpicCare Inpatient 2014 Certified EHR Suite,Epic 2014 (April 2013 CQMs),Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-023664,Epic Systems Corporation,Outgoing Public Health Reporting from EpicCare Functionality,Epic 2014,Modular EHR,Inpatient,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003002049,,EP,California,94538,Internal Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,1314E01RCQQWEAH,CHP-025226,"Sunquest Information Systems, Inc.",Sunquest Laboratory,7,Modular EHR,Inpatient,2014
1003002098,,EP,Ohio,44077,Chiropractor,,Medicare,2015,Stage 1,,1,2016,,0,A014E01OSQDVEAN,CHP-022867,"Integrated Practice Solutions, Inc.",ChiroTouch,6,Complete EHR,Ambulatory,2014
1003002312,,EP,Massachusetts,2169,Specialist,,Medicare,2013,Stage 1,1,9,2013,,0,A000001GVSASEAR,CHP-019323,"MedPlus, A Quest Diagnostics Company",Care360 EHR,2013.2,Complete EHR,Ambulatory,2011
1003002312,,EP,Massachusetts,2169,Specialist,,Medicare,2015,Stage 2,3,2,2016,,0,1314E01QAAAJEA1,CHP-025312,Quest Diagnostics Incorporated,Care360 EHR,2015.1,Complete EHR,Ambulatory,2014
1003002486,,EP,Missouri,63090,Chiropractor,,Medicare,2014,Stage 1,1,10,2014,2014,0,A014E01OSQDVEAN,CHP-022867,"Integrated Practice Solutions, Inc.",ChiroTouch,6,Complete EHR,Ambulatory,2014
1003002742,,EP,Iowa,52807,Pain Medicine,,Medicare,2011,Stage 1,1,1,2012,,1,30000004H0RCEA0,CHP-006625,Practice Fusion,Practice Fusion,2,Complete EHR,Ambulatory,2011
1003002742,,EP,Iowa,52807,Pain Medicine,,Medicare,2012,Stage 1,2,2,2013,,1,30000004H0RCEA0,CHP-006625,Practice Fusion,Practice Fusion,2,Complete EHR,Ambulatory,2011
1003002742,,EP,Iowa,52807,Pain Medicine,,Medicare,2013,Stage 1,3,2,2014,,1,30000004H0RCEA0,CHP-006625,Practice Fusion,Practice Fusion,2,Complete EHR,Ambulatory,2011
1003002742,,EP,Iowa,52807,Pain Medicine,,Medicare,2014,Stage 2,4,2,2015,2014,1,1314E01PLWXGEAT,CHP-022482,Practice Fusion,Practice Fusion EHR,3.1,Complete EHR,Ambulatory,2014
1003002742,,EP,Iowa,52807,Pain Medicine,,Medicare,2014,Stage 2,4,2,2015,2014,1,1314E01PLWXGEAT,CHP-024043,Practice Fusion,Practice Fusion EHR,3.2,Complete EHR,Ambulatory,2014
1003002783,,EP,Pennsylvania,15213,Specialist,,Medicare,2013,Stage 1,1,3,2014,,0,30000005Q6GNEAQ,CHP-007661,"Ramsoft, Inc.",RamSoft PowerServer,5.1,Complete EHR,Ambulatory,2011
1003002783,,EP,Pennsylvania,15213,Specialist,,Medicare,2014,Stage 1,2,2,2015,2013,0,30000005Q6GNEAQ,CHP-007661,"Ramsoft, Inc.",RamSoft PowerServer,5.1,Complete EHR,Ambulatory,2011
1003002783,,EP,Pennsylvania,15213,Specialist,,Medicare,2015,Stage 2,3,3,2016,,0,1314E01Q9CBIEAN,CHP-024234,"Ramsoft, Inc.",RamSoft PowerServer,6,Complete EHR,Ambulatory,2014
1003002817,,EP,Florida,33166,Family Medicine,,Medicare,2011,Stage 1,1,1,2012,,1,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003002817,,EP,Florida,33166,Family Medicine,,Medicare,2012,Stage 1,2,2,2013,,1,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003002817,,EP,Florida,33166,Family Medicine,,Medicare,2013,Stage 1,3,1,2014,,1,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003002817,,EP,Florida,33166,Family Medicine,,Medicare,2014,Stage 1,4,1,2015,2013,1,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003002817,,EP,Florida,33166,Family Medicine,,Medicare,2015,Stage 2,5,3,2016,,1,1314E01PHNJKEA5,CHP-023369,NextGen Healthcare,NextGen Ambulatory EHR,5.8.1,Complete EHR,Ambulatory,2014
1003002890,,EP,Colorado,80601,Orthopaedic Surgery,,Medicare,2014,Stage 1,1,2,2015,2013,0,A000001DAB2XEAR,CHP-018402,"Greenway Health, LLC",Greenway PrimeSUITE,2014 (17.0),Complete EHR,Ambulatory,2011
1003002890,,EP,Colorado,80601,Orthopaedic Surgery,,Medicare,2015,Stage 1,2,1,2016,,0,1314E01QFMOLEAL,CHP-025493,"Greenway Health, LLC",Greenway PrimeSUITE,2014 (17.20),Complete EHR,Ambulatory,2014
1003003153,,EP,Washington,98104,Dermatology,,Medicare,2014,Stage 1,1,11,2014,2014,0,A014E01IF4H5EAB,CHP-019739,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2012,Complete EHR,Ambulatory,2014
1003003153,,EP,Washington,98104,Dermatology,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01PNI95EAB,CHP-024722,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic2014 (June 2013 CQMs) - 1,Complete EHR,Ambulatory,2014
1003003609,,EP,Texas,75231,Internal Medicine,,Medicare,2012,Stage 1,1,2,2013,,1,30000004H0RCEA0,CHP-006625,Practice Fusion,Practice Fusion,2,Complete EHR,Ambulatory,2011
1003003609,,EP,Texas,75231,Internal Medicine,,Medicare,2015,Stage 2,4,1,2016,,1,1314E01PI0MPEAT,CHP-023393,"eClinicalWorks, LLC",eClinicalWorks,V10,Complete EHR,Ambulatory,2014
1003003856,,EP,New York,11776,Family Medicine,,Medicare,2015,Stage 1,,1,2016,,0,1314E01PI0MPEAT,CHP-023393,"eClinicalWorks, LLC",eClinicalWorks,V10,Complete EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-019313,Cerner Corporation,P2 Sentinel (Powered by Sensage),5,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-019314,Cerner Corporation,P2 Sentinel (Powered by Sensage),5,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022555,Cerner Corporation,PathNet,2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022556,Cerner Corporation,FirstNet (Clinical),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022557,Cerner Corporation,Powerchart (Clinical),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022558,Cerner Corporation,Powerchart (Image Results),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022559,Cerner Corporation,FirstNet (Image Results),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022560,Cerner Corporation,Cerner Patient Portal and FirstNet,2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022561,Cerner Corporation,Cerner Patient Portal and Powerchart,2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022562,Cerner Corporation,FirstNet (eRX),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022563,Cerner Corporation,Powerchart (All CQM's),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-022564,Cerner Corporation,Powerchart (eRX),2012.01.28,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023315,Cerner Corporation,Cerner Patient Portal and Powerchart,2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023316,Cerner Corporation,FirstNet (Image Results),2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023320,Cerner Corporation,Powerchart (Image Results),2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023321,Cerner Corporation,Powerchart (Clinical),2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023324,Cerner Corporation,Powerchart (CQM),2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023327,Cerner Corporation,PathNet,2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023328,Cerner Corporation,FirstNet (Clinical),2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2014,Stage 1,1,2,2015,2014,0,1314E01PM16HEAT,CHP-023330,Cerner Corporation,Cerner Patient Portal and FirstNet,2012.01.28,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-019313,Cerner Corporation,P2 Sentinel (Powered by Sensage),5,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-019314,Cerner Corporation,P2 Sentinel (Powered by Sensage),5,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-024967,"Wellcentive, Inc.",Wellcentive Registry,3,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-025428,Cerner Corporation,Powerchart (Clinical),2015.01.03,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-025429,Cerner Corporation,Powerchart (Clinical),2015.01.03,Modular EHR,Ambulatory,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-025460,Cerner Corporation,FirstNet (Clinical),2015.01.03,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-025462,Cerner Corporation,HealtheLife and Powerchart,2015.01.03,Modular EHR,Inpatient,2014
1003004326,,EP,Michigan,49009,Emergency Medicine,,Medicare,2015,Stage 1,2,5,2016,,0,1314E01RM5ZPEAT,CHP-025463,Cerner Corporation,HealtheLife and Powerchart,2015.01.03,Modular EHR,Ambulatory,2014
